Address,Latitude,Longitude
"1720 15th Ave, Seattle, WA 98122",47.6205042,-122.31315120000001
"43918 SE 143rd St, North Bend, WA 98045",47.496231123456,-121.785456789012
"1100 King St, San Gabriel, CA 91776",34.096667,-118.104722
"5 Rue des Hameaux de la Plaine, 86000 Poitiers, France",46.583333333333,0.333333333333
"Via Niccolò Machiavelli, 64, 06121 Perugia PG, Italy",43.105722222222,12.385666666667
"Eiffel Tower, Champ de Mars, Paris 75007, France",48.858373333333,2.2944816666667
"10 Haret Al Zaablawi, Al Gazirah Al Gadidah, Abdeen, Cairo Governorate 4280024, Egypt",30.047555555555,31.246666666667
"33 Molesey Ave, Auckland Park, Johannesburg, 2092, South Africa",-26.184444444444,28.000555555556
"4 Othaya Rd, Nairobi, Kenya",-1.288832,36.827012
"623, 5th Main Rd, 4th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",12.983333333333,77.566666666667
"Hinduban Tarun Mandal, 82, Jain Mandir Rd, Raviwar Peth, Pune, Maharashtra 411002, India",18.5166666666667,73.8666666666667
"39 Trần Bình Trọng, Phường Lê Lợi, Quy Nhơn, Bình Định, Vietnam",13.776537,109.224343
"30 Etemad-ul-dawla St, Kabul, Afghanistan",,
"شارع المشاط, Baghdad, Baghdad Governorate, Iraq",33.314611111111,44.432222222222
"Tehran Province, Tehran, Khojasteh Alley, No. Number 11, Iran",35.687788198399,51.423062747658
"No. 18, Lane 113, Qiaocheng Rd, Dali District, Taichung City, Taiwan 412",24.1444444444444,120.683333333333
"710, Taiwan, Tainan City, Yongkang District, 中興街216巷35弄22號",,
"Japan, 〒182-0012 Tokyo, Chofu, Jindaiji Higashimachi, 5-chōme- 1 9 -11",35.66666666666667,139.53333333333333
"1-chōme-11-30 Fukaekita, Higashinari Ward, Osaka, 537-0001, Japan",34.710455555555,135.541527777778
"203 Custer St, Comstock, NE 68828",41.555555555555,-99.244444444444
"4801 County Rd 37, Hazen, ND 58545",,
"9730 129 St, Surrey, BC V3T 3G4, Canada",49.186511111111,-122.848333333333
"R. do Tubo, 576 - Pernambués, Salvador - BA, 41100-585, Brazil",-12.973333333333333,-38.50583333333333
"Arturo Prat 770, 1271575 Antofagasta, Chile",-23.652531125,-70.392533125
That one McDonald's in downtown Seattle that always has stabbings,,
"1204 16th Ave S, Nashville, TN 37212",36.134111111111,-86.794722222222
"1302 Stratford Ave, Nashville, TN 37216",36.160304,-86.748413
"310 S Presley St, Atmore, AL 36502",31.025432123456,-87.493456789012
"606 Virginia Ave, Opp, AL 36467",31.286944,-86.255556
"3018 W State St, Tampa, FL 33609",27.973444444444,-82.473333333333
"137 Allen St, New York, NY 10002",40.7223432345678,-73.9914456789012
"64 E 118th St, New York, NY 10035",40.801123456789,-73.954567890123
"1353 Harrod Ave, Bronx, NY 10472",,
That one really old statue of a cat with a human face in Egypt,29.97443,31.13421
"That one building that's famous for being slightly tilted, I think it's in Italy or Spain?",43.723296,10.396609
The most populous station in Antarctica,-77.8463888888889,166.668055555556
"10 Little Mountain St, South Melbourne VIC 3205, Australia",-37.837432123456,144.960543212345
"13 Pioneers Cres, Pakenham VIC 3810, Australia",-38.071111111111,145.483333333333
"3 Wallis St, East Side NT 0870, Australia",-23.6985123456789,133.8756123456789
"29 Denison Rd, Lewisham NSW 2049, Australia",-33.893423456789,151.084534567891
"7 Albert St, Randwick NSW 2031, Australia",-33.917944444444,151.243611111111
"90 King George St, Kensington WA 6151, Australia",-32.024153333333,115.857166666667
"35 Centennial Avenue, Riccarton, Christchurch 8041, New Zealand",-43.533333333333,172.633333333333
"43 Killarney Street, Alexandra 9320, New Zealand",-45.249722222222,169.379722222222
"19 Burns Street, Mataura 9712, New Zealand",-46.18920123456789,168.8634567890123
"32 Hopkins St, Moonah TAS 7009, Australia",-42.845155555555,147.310211111111
"16 Khyber Rd, London SW11 2PZ, UK",51.4624555555556,-0.176111111111111
